yyyy,Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep
01/01/1959,13,20.3,7.4,6.6,4,19.6,18.1,10.6,18.1,9.3,15.2,18.3
01/01/1960,14,19.4,5.6,5.8,6.1,18.8,21,8.9,17.8,8.9,12.6,16.7
01/01/1961,12.4,18.4,4.2,9,5.9,18.1,17.3,11.6,15.9,8.1,13.5,17.4
01/01/1962,12.8,17.2,5.9,7.2,6.7,17.9,18.3,7.5,15.8,7.8,13.3,14.8
01/01/1963,11.6,17.1,5.8,3.9,2.5,18,18.5,9.8,14,8.5,13.2,15.8
01/01/1964,12.1,17.6,6,7.2,6.8,17.9,17.5,7.4,16,8.8,11.8,16.4
01/01/1965,12,17.5,5.7,6.7,5.1,16.8,17.9,8,14.8,6.2,12.2,15
01/01/1966,8.3,17.6,6.2,5.7,4.7,18.5,17.4,9.9,15,7.5,12,16
01/01/1967,11.9,18.4,7.1,7.5,6.3,17.5,18.4,9.1,13.2,8.3,11.9,16.5
01/01/1968,12.3,19.1,5.8,4.2,6.5,18.2,19.3,9.3,13.3,7.9,13.5,16
01/01/1969,11.8,20.1,5.7,4.1,6.8,19.5,18.6,6,14.2,6.6,14.9,16.2
01/01/1970,10.8,19.6,7,5.7,5.5,17.1,20.1,8.5,15.5,8.6,12.3,15.8
01/01/1971,12.4,17.9,9.6,7.7,6.6,19.8,16.1,9.3,15.4,9.1,14,17.8
01/01/1972,12.9,18.3,8.1,6.8,6.1,19.7,15.5,9.2,14.6,8.4,14,16.5
01/01/1973,11.7,18.7,6.8,6.9,6.6,20,18.4,10.3,14.2,8.2,12.3,16.5
01/01/1974,14.1,18.4,9.1,8,8.3,17.2,18.3,8.3,15.3,8.4,11.3,14.3
01/01/1975,11.9,21.7,8.7,6.9,8.1,19.8,19.3,8.6,15,8.9,12.8,15.3
01/01/1976,12.1,22.1,3.8,7.4,7.9,21.7,19,7.9,14.3,8.6,12.5,16
01/01/1977,10.5,19,7.5,6,4.8,21.1,18.2,9.5,15.4,7.4,14,15.3
01/01/1978,9.8,17.6,5.4,4.8,5.3,18.2,18.3,9.2,17.2,10.4,14.1,15.8
01/01/1979,10.7,17.8,6.7,4.3,3.3,17.8,17.9,6.9,13.4,8.7,13.2,15.6
01/01/1980,13.8,18,8.1,7,4.4,17.8,16.9,7.3,17.6,8.8,11,16.3
01/01/1981,12.9,19.3,2.2,6.5,7.3,18.1,16.8,9.6,15.5,10.1,10.5,16.8
01/01/1982,13.4,18.1,6.7,8,5.1,21.3,17.9,9.7,15.9,9.3,12.9,15.8
01/01/1983,10.5,21.4,8.8,5.2,8.3,21.9,17.1,9.1,13.5,10.1,12.3,15.2
01/01/1984,13.7,21.5,7.7,6.6,4.8,22.1,18.3,8.2,16.8,9.3,12.8,15.4
01/01/1985,11.9,16.8,7.5,6.2,3.8,18,16.6,8,15.3,6.8,13.3,15.3
01/01/1986,9.5,17.1,7.2,3.1,5.4,18,18.6,8.7,13.8,10.1,12.8,15.3
01/01/1987,13.1,18.5,7.6,7.1,4,19.3,16.3,8.1,14.9,8.5,11.3,16
01/01/1988,12.1,18.2,9.7,7.6,6.5,17.4,20,8.9,16,8.8,12.4,15.7
01/01/1989,10.7,18.1,4.8,8.1,9.5,22.2,18.3,9.5,16.9,8.2,13.6,16
01/01/1990,12.2,18.9,7.1,8.7,8.1,20,17.6,10.6,17.2,8.4,12.8,15.7
01/01/1991,12,19.6,7.8,5.6,5.4,20.8,16.4,10.6,16.5,8.7,12.1,17.4
01/01/1992,11.4,17.5,6.2,8.3,7.1,18.6,19.7,9.8,17.4,9.2,10.4,14.8
01/01/1993,12.5,18,5.8,8.8,7.8,17.4,18,9.7,15,6.7,10.7,15.9
01/01/1994,11.8,18.3,7.9,5.1,6.6,20,16.6,8.9,15.2,11.4,12.2,15.3
01/01/1995,13.1,22.7,4,7.6,6.6,20.9,20.1,8.1,15.9,9.9,14.6,16.7
01/01/1996,12,20.2,5.8,6.4,6.8,19.2,18.4,7.8,13.4,7.8,13.8,17.6
01/01/1997,13.5,21.5,8,9,6,20.3,18.2,11,15.6,10.6,12.7,16.3
01/01/1998,11.3,18.2,8.7,10,7.6,18.1,17,10.4,16.2,9.1,11.8,16.9
01/01/1999,13.3,19.1,6.4,7.6,6.9,20.2,17.5,10.1,16,10,13.1,17.8
01/01/2000,11.8,20.1,7.4,8.4,8.2,20.5,17.8,10.8,17.3,9,12.6,17.2
01/01/2001,11.9,19.3,6.8,7.2,5.6,19.3,17.3,8.3,18.5,10.9,15.1,16.3
01/01/2002,13.3,20.5,6.7,8.9,8.7,18.4,17.3,10.9,16,10.2,11.5,17.4
01/01/2003,15,21.1,7.9,7.4,6.9,21,19.4,12,15.2,11.1,12.1,17.3
01/01/2004,13.8,20.6,9.4,8.4,7.9,19.4,18.4,10.6,17.2,10.9,12.3,16.8
01/01/2005,12.9,19.6,8.2,7.9,9.4,20.1,19.1,11.1,15.3,9.6,14.4,17
01/01/2006,12.3,19.4,9.1,8.1,7.6,22.7,19.7,8.1,16.2,10.6,15.1,18.3
01/01/2007,15.6,18.2,7.8,8.8,9.6,18.8,18.2,10.5,15.4,10.5,14.2,16
01/01/2008,12.5,18.2,6.5,9,8,19.5,17.6,9.1,17.5,8.9,11.8,15.7
01/01/2009,13.8,18.5,4.6,7.4,6.8,20,19.4,10.2,15.8,9.5,13.8,16.6
01/01/2010,13.6,18.5,1.6,5.2,4.1,18.5,20.2,9.6,15.7,7.1,12.9,17
01/01/2011,15.7,17.9,7.6,8.3,5.9,20.3,16.8,9.5,15,11.8,13.6,16.8
01/01/2012,11.5,19.7,6.5,8.2,7.3,18.1,16.6,12.8,16.1,8.8,11.4,15.3
01/01/2013,10.9,19.5,9,7.2,6.4,22.4,18.3,6.1,14.8,8.6,13.8,16.3
01/01/2014,13.7,18.2,7.4,7.8,7.2,21.4,19.4,10.3,15.8,10.6,13.9,18.4
01/01/2015,13.3,18.7,9.8,7.5,6.6,18.2,17,9.6,13.4,10.3,13.9,16.8
01/01/2016,11.5,19.3,9.6,7.3,6.9,18.7,19.1,10.1,16.8,8,13.6,17.6
01/01/2017,12.5,18.2,7,8.2,7.6,18.8,17.7,11.1,17.8,8.4,14,16.1
01/01/2018,12,18.1,8,6.4,6,21.6,20.9,7.2,17.7,10.1,13,15.5
01/01/2019,14.3,20.2,8.1,10.3,6.8,21.1,18.7,10.2,15.6,7.8,12.2,17.2
01/01/2020,14.6,19.7,7,7.8,8.8,18.2,19.6,9.8,17.3,10.7,13,16.8
01/01/2021,12.6,20.3,0,7,4.9,22.7,19.7,10.5,14.7,0,0,0